################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 2 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
     250  0.020000   0.480000   -1.672899   
     251  0.020000   0.490000   -1.682366   
     252  0.020000   0.500000   -1.677959   
     253  0.020000   0.510000   -1.659571   
     254  0.020000   0.520000   -1.627387   
     255  0.020000   0.530000   -1.581884   
     256  0.020000   0.540000   -1.523807   
     257  0.020000   0.550000   -1.454145   
     258  0.020000   0.560000   -1.374091   
     259  0.020000   0.570000   -1.285001   
     260  0.020000   0.580000   -1.188350   
     261  0.020000   0.590000   -1.085677   
     262  0.020000   0.600000   -0.978546   
     263  0.020000   0.610000   -0.868495   
     264  0.020000   0.620000   -0.756997   
     265  0.020000   0.630000   -0.645428   
     266  0.020000   0.640000   -0.535038   
     267  0.020000   0.650000   -0.426932   
     268  0.020000   0.660000   -0.322057   
     269  0.020000   0.670000   -0.221200   
     270  0.020000   0.680000   -0.124985   
     271  0.020000   0.690000   -0.033885   
     272  0.020000   0.700000   0.051770   
     273  0.020000   0.710000   0.131778   
     274  0.020000   0.720000   0.206047   
     275  0.020000   0.730000   0.274580   
     276  0.020000   0.740000   0.337454   
     277  0.020000   0.750000   0.394807   
     278  0.020000   0.760000   0.446822   
     279  0.020000   0.770000   0.493711   
     280  0.020000   0.780000   0.535709   
     281  0.020000   0.790000   0.573057   
     282  0.020000   0.800000   0.606002   
     283  0.020000   0.810000   0.634786   
     284  0.020000   0.820000   0.659645   
     285  0.020000   0.830000   0.680805   
     286  0.020000   0.840000   0.698478   
     287  0.020000   0.850000   0.712867   
     288  0.020000   0.860000   0.724160   
     289  0.020000   0.870000   0.732532   
     290  0.020000   0.880000   0.738150   
     291  0.020000   0.890000   0.741167   
     292  0.020000   0.900000   0.741730   
     293  0.020000   0.910000   0.739978   
     294  0.020000   0.920000   0.736043   
     295  0.020000   0.930000   0.730054   
     296  0.020000   0.940000   0.722136   
     297  0.020000   0.950000   0.712413   
     298  0.020000   0.960000   0.701010   
     299  0.020000   0.970000   0.688052   
     300  0.020000   0.980000   0.673666   
     301  0.020000   0.990000   0.657981   
     302  0.020000   1.000000   0.641128   
     303  0.030000   0.000000   -0.276628   
     304  0.030000   0.010000   -0.276572   
     305  0.030000   0.020000   -0.274466   
     306  0.030000   0.030000   -0.270246   
     307  0.030000   0.040000   -0.263922   
     308  0.030000   0.050000   -0.255574   
     309  0.030000   0.060000   -0.245352   
     310  0.030000   0.070000   -0.233477   
     311  0.030000   0.080000   -0.220233   
     312  0.030000   0.090000   -0.205959   
     313  0.030000   0.100000   -0.191040   
     314  0.030000   0.110000   -0.175900   
     315  0.030000   0.120000   -0.160988   
     316  0.030000   0.130000   -0.146775   
     317  0.030000   0.140000   -0.133736   
     318  0.030000   0.150000   -0.122351   
     319  0.030000   0.160000   -0.113094   
     320  0.030000   0.170000   -0.106427   
     321  0.030000   0.180000   -0.102800   
     322  0.030000   0.190000   -0.102646   
     323  0.030000   0.200000   -0.106379   
     324  0.030000   0.210000   -0.114394   
     325  0.030000   0.220000   -0.127063   
     326  0.030000   0.230000   -0.144736   
     327  0.030000   0.240000   -0.167735   
